id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,atmo_opacity,min_temp_F,max_temp_F
384,10/13/2013,422,34,Month 2,-82,-20,891,Sunny,-115.6,-4
382,10/12/2013,421,34,Month 2,-81,-24,890,Sunny,-113.8,-11.2
385,10/11/2013,420,33,Month 2,-80,-19,892,Sunny,-112,-2.2
381,10/10/2013,419,33,Month 2,-82,-24,891,Sunny,-115.6,-11.2
380,10/9/2013,418,33,Month 2,-79,-21,891,Sunny,-110.2,-5.8
379,10/8/2013,417,32,Month 2,-82,-21,890,Sunny,-115.6,-5.8
378,10/7/2013,416,32,Month 2,-79,-18,889,Sunny,-110.2,-0.4
377,10/6/2013,415,31,Month 2,-82,-19,890,Sunny,-115.6,-2.2
375,10/5/2013,414,31,Month 2,-79,-18,889,Sunny,-110.2,-0.4
376,10/4/2013,413,30,Month 2,-82,-22,888,Sunny,-115.6,-7.6
371,10/3/2013,412,30,Month 2,-80,-22,888,Sunny,-112,-7.6
372,10/2/2013,411,29,Month 1,-82,-17,887,Sunny,-115.6,1.4
373,10/1/2013,410,29,Month 1,-81,-14,888,Sunny,-113.8,6.8
